Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
H2-Q14	histocompatibility 2, Q region locus 14	Mus musculus	protein_coding_gene	MGI	Q14
H2-Q15	histocompatibility 2, Q region locus 15	Mus musculus	protein_coding_gene	MGI	Q15
Gm10811	predicted gene 10811	Mus musculus	protein_coding_gene	MGI	
C230037E05Rik	RIKEN cDNA C230037E05 gene	Mus musculus	lncRNA_gene	MGI	
Usp21	ubiquitin specific peptidase 21	Mus musculus	protein_coding_gene	MGI	ESTM28|Usp16|Usp23|W53272
BC028777	cDNA sequence BC028777	Mus musculus	lncRNA_gene	MGI	5430411J08Rik
Gm12729	predicted gene 12729	Mus musculus	lncRNA_gene	MGI	
Cyp51	cytochrome P450, family 51	Mus musculus	protein_coding_gene	MGI	
Gm12160	predicted gene 12160	Mus musculus	lncRNA_gene	MGI	
Gm12159	predicted gene 12159	Mus musculus	lncRNA_gene	MGI	
Gm12162	predicted gene 12162	Mus musculus	lncRNA_gene	MGI	
Gm11264	predicted gene 11264	Mus musculus	lncRNA_gene	MGI	
Ccnb1	cyclin B1	Mus musculus	protein_coding_gene	MGI	Ccnb1-rs13|Cycb-4
Dtna	dystrobrevin alpha	Mus musculus	protein_coding_gene	MGI	2210407P21Rik|87K protein|A0|a-DB-1|adbn|alpha-dystrobrevin|Dtn
Lrrn1	leucine rich repeat protein 1, neuronal	Mus musculus	protein_coding_gene	MGI	2810047E21Rik|NLRR-1
Lrrn2	leucine rich repeat protein 2, neuronal	Mus musculus	protein_coding_gene	MGI	NLRR-2|5730406J09Rik
Lrrn3	leucine rich repeat protein 3, neuronal	Mus musculus	protein_coding_gene	MGI	NLRR-3
Mki67	antigen identified by monoclonal antibody Ki 67	Mus musculus	protein_coding_gene	MGI	D630048A14Rik|Ki67|Ki-67
Six4	sine oculis-related homeobox 4	Mus musculus	protein_coding_gene	MGI	AREC3|TrexBF
Glrx3	glutaredoxin 3	Mus musculus	protein_coding_gene	MGI	PICOT|PKC interacting cousin of thioredoxin|Txnl2
Tfap2c	transcription factor AP-2, gamma	Mus musculus	protein_coding_gene	MGI	Ap-2.2|AP2gamma|Stra2|Tcfap2c
Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	Mus musculus	protein_coding_gene	MGI	NS|nucleostemin
Gucy2d	guanylate cyclase 2d	Mus musculus	protein_coding_gene	MGI	guanylyl cyclase D
Gm13062	predicted gene 13062	Mus musculus	lncRNA_gene	MGI	
Gm13063	predicted gene 13063	Mus musculus	lncRNA_gene	MGI	
Or4a70	olfactory receptor family 4 subfamily A member 70	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2Q125-50937307-50936387|MOR231-5|Olfr1242
Sucnr1	succinate receptor 1	Mus musculus	protein_coding_gene	MGI	Gpr91
Mrgprh	MAS-related GPR, member H	Mus musculus	protein_coding_gene	MGI	Gpr90|MrgH
Gpr87	G protein-coupled receptor 87	Mus musculus	protein_coding_gene	MGI	
Gm9947	predicted gene 9947	Mus musculus	lncRNA_gene	MGI	
Rhoc	ras homolog family member C	Mus musculus	protein_coding_gene	MGI	Arh9|Arhc
Anxa11os	annexin A11, opposite strand	Mus musculus	gene_product	MGI	Gm9872
Gstm3	glutathione S-transferase, mu 3	Mus musculus	protein_coding_gene	MGI	Fsc2|mGSTM5
Gucy2g	guanylate cyclase 2g	Mus musculus	protein_coding_gene	MGI	2410077I05Rik|GC-G
Zfp503	zinc finger protein 503	Mus musculus	protein_coding_gene	MGI	B830002A16Rik|Nolz1|Nolz-1|ZNF503|Zpo2
Hmga2-ps1	high mobility group AT-hook 2, pseudogene 1	Mus musculus	pseudogene	MGI	[y]i-c|Hmgic-ps1
Rpl26	ribosomal protein L26	Mus musculus	protein_coding_gene	MGI	SIG-20
Sbp	spermine binding protein	Mus musculus	protein_coding_gene	MGI	p25
St8sia2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	Mus musculus	protein_coding_gene	MGI	Siat8b|ST8SiaII
Gm13861	predicted gene 13861	Mus musculus	lncRNA_gene	MGI	
Gm13860	predicted gene 13860	Mus musculus	lncRNA_gene	MGI	
Gm12866	predicted gene 12866	Mus musculus	lncRNA_gene	MGI	
Gpr107	G protein-coupled receptor 107	Mus musculus	protein_coding_gene	MGI	
Gpr84	G protein-coupled receptor 84	Mus musculus	protein_coding_gene	MGI	EX33
St8sia3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	Mus musculus	protein_coding_gene	MGI	Siat8c|ST8SiaIII
St8sia4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	Mus musculus	protein_coding_gene	MGI	PST|PST-1|Siat8d|ST8SiaIV
Tra2b	transformer 2 beta	Mus musculus	protein_coding_gene	MGI	5730405G21Rik|Sfrs10|Silg41|TRA2beta
Cox7a2l	cytochrome c oxidase subunit 7A2 like	Mus musculus	protein_coding_gene	MGI	COX7AR|COX7RP|EB1|SIG81|SIG-81
Nudc	nudC nuclear distribution protein	Mus musculus	protein_coding_gene	MGI	Silg92
Slc16a1	solute carrier family 16 (monocarboxylic acid transporters), member 1	Mus musculus	protein_coding_gene	MGI	MCT1
Tagln	transgelin	Mus musculus	protein_coding_gene	MGI	SM22|Sm22a|SM22alpha|SM-22 alpha
St8sia1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	Mus musculus	protein_coding_gene	MGI	9330109E03Rik|alpha-2,8-sialyltransferase|GD3S|GD3 synthase|Siat8|Siat8a|ST8Sia I
Ighv9-3	immunoglobulin heavy variable V9-3	Mus musculus	gene_segment	MGI	ENSMUSG00000072803
Gm14320	predicted gene 14320	Mus musculus	lncRNA_gene	MGI	Gm31932
Gm12434	predicted gene 12434	Mus musculus	lncRNA_gene	MGI	
Gm13330	predicted gene 13330	Mus musculus	lncRNA_gene	MGI	
C130057N11Rik	RIKEN cDNA C130057N11 gene	Mus musculus	lncRNA_gene	MGI	
Gm14319	predicted gene 14319	Mus musculus	lncRNA_gene	MGI	
Gm9869	predicted gene 9869	Mus musculus	lncRNA_gene	MGI	
Anxa5	annexin A5	Mus musculus	protein_coding_gene	MGI	annexin V|Anx5
Angptl3	angiopoietin-like 3	Mus musculus	protein_coding_gene	MGI	hypl
Gm10371	predicted gene 10371	Mus musculus	lncRNA_gene	MGI	
Apln	apelin	Mus musculus	protein_coding_gene	MGI	6030430G11Rik
Rnf19a	ring finger protein 19A	Mus musculus	protein_coding_gene	MGI	Dorfin|Rnf19|XY body protein|XYbp
Zfp354c	zinc finger protein 354C	Mus musculus	protein_coding_gene	MGI	5330421P20Rik|AJ18|Kid3
Slamf6	SLAM family member 6	Mus musculus	protein_coding_gene	MGI	KAL1|KAL1b|Ly108|NTB-A|SF2000
Gm13115	predicted gene 13115	Mus musculus	lncRNA_gene	MGI	
Gm13274	predicted gene 13274	Mus musculus	lncRNA_gene	MGI	
Smim5	small integral membrane protein 5	Mus musculus	protein_coding_gene	MGI	2210020M01Rik
Ptrh1	peptidyl-tRNA hydrolase 1 homolog	Mus musculus	protein_coding_gene	MGI	2210013M04Rik
G730007D18Rik	RIKEN cDNA G730007D18 gene	Mus musculus	lncRNA_gene	MGI	
Slc46a2	solute carrier family 46, member 2	Mus musculus	protein_coding_gene	MGI	5430429N04Rik|Ly110|Tscot|TSO-1C12
Gm10385	predicted gene 10385	Mus musculus	lncRNA_gene	MGI	
Gm10568	predicted gene 10568	Mus musculus	gene	MGI	
Gm12472	predicted gene 12472	Mus musculus	lncRNA_gene	MGI	
Sc5d	sterol-C5-desaturase	Mus musculus	protein_coding_gene	MGI	A830073K23Rik
Gm10383	predicted gene 10383	Mus musculus	protein_coding_gene	MGI	
Gm11567	predicted gene 11567	Mus musculus	protein_coding_gene	MGI	
Nr6a1os	nuclear receptor subfamily 6, group A, member 1, opposite strand	Mus musculus	gene_product	MGI	Gm13507|Gm36800
Fndc11	fibronectin type III domain containing 11	Mus musculus	protein_coding_gene	MGI	1700026M20Rik|BC051628
Zbtb18	zinc finger and BTB domain containing 18	Mus musculus	protein_coding_gene	MGI	RP58|Zfp238
Siva1	SIVA1, apoptosis-inducing factor	Mus musculus	protein_coding_gene	MGI	CD27bp
Tor1b	torsin family 1, member B	Mus musculus	protein_coding_gene	MGI	2610016F05Rik|DQ1|torsinB
Hnf4g	hepatocyte nuclear factor 4, gamma	Mus musculus	protein_coding_gene	MGI	NR2A2
Trbv2	T cell receptor beta, variable 2	Mus musculus	gene_segment	MGI	Gm16752|Tcrb-V4
D1Wsu1e	DNA segment, Chr 1, Wayne State University 1, expressed	Mus musculus	gene	MGI	
Dcaf8	DDB1 and CUL4 associated factor 8	Mus musculus	protein_coding_gene	MGI	D1Dau35e|D1Ucla4|H326|Wdr42a
Trbv26	T cell receptor beta, variable 26	Mus musculus	gene_segment	MGI	Gm16909|Tcrb-V3|Tcrb-V3.1
Trbv23	T cell receptor beta, variable V23	Mus musculus	gene_segment	MGI	VB20|Tcrb-V20
Trbv1	T cell receptor beta, variable 1	Mus musculus	gene_segment	MGI	Gm6273|Tcrb-V2
Trbv21	T cell receptor beta, variable 21	Mus musculus	gene_segment	MGI	Tcrb-V19|Gm16778
Trbv30	T cell receptor beta, variable 30	Mus musculus	gene_segment	MGI	Gm16648|Tcrb-V18
Trav7d-5	T cell receptor alpha variable 7D-5	Mus musculus	gene_segment	MGI	
Trbv3	T cell receptor beta, variable 3	Mus musculus	gene_segment	MGI	Gm2426|Tcrb-V16
Ubxn6	UBX domain protein 6	Mus musculus	protein_coding_gene	MGI	1200008L11Rik|2210415J11Rik|Ubxd1|Ubxdc2
Trpt1	tRNA phosphotransferase 1	Mus musculus	protein_coding_gene	MGI	EST-MNCb3719|TPT1|Tpt1h
Pigq	phosphatidylinositol glycan anchor biosynthesis, class Q	Mus musculus	protein_coding_gene	MGI	Gpi1|Gpi1h|Gpi1p|Gpih
Ran	RAN, member RAS oncogene family	Mus musculus	protein_coding_gene	MGI	
Trbv31	T cell receptor beta, variable 31	Mus musculus	gene_segment	MGI	Gm16809|Tcrb-V14
Trbv14	T cell receptor beta, variable 14	Mus musculus	gene_segment	MGI	BV13S1|Gm16910|Tcrb-V13
Trbv15	T cell receptor beta, variable 15	Mus musculus	gene_segment	MGI	Gm16775|Tcrb-V12
Trbv16	T cell receptor beta, variable 16	Mus musculus	gene_segment	MGI	Gm16776|Tcrb-V11
Trbv4	T cell receptor beta, variable 10	Mus musculus	gene_segment	MGI	Tcrb-V10
Trbv5	T cell receptor beta, variable 5	Mus musculus	gene_segment	MGI	Tcrb-V1
Zkscan4	zinc finger with KRAB and SCAN domains 4	Mus musculus	protein_coding_gene	MGI	
Cox5b-ps	cytochrome c oxidase subunit 5B, pseudogene	Mus musculus	protein_coding_gene	MGI	Gm11273
Gm11496	predicted gene 11496	Mus musculus	lncRNA_gene	MGI	
D1Pas1	DNA segment, Chr 1, Pasteur Institute 1	Mus musculus	protein_coding_gene	MGI	Pl10
Gm12869	predicted gene 12869	Mus musculus	lncRNA_gene	MGI	
Tcra-VBMB	T cell receptor alpha, variable BMB	Mus musculus	gene_segment	MGI	
Gm13441	predicted gene 13441	Mus musculus	lncRNA_gene	MGI	
Cd300ld2	CD300 molecule like family member D2	Mus musculus	protein_coding_gene	MGI	Gm11709
Gm14252	predicted gene 14252	Mus musculus	lncRNA_gene	MGI	
Tcra-V2	T cell receptor alpha, variable 2	Mus musculus	gene_segment	MGI	
Tcra-V13	T cell receptor alpha, variable 13	Mus musculus	gene_segment	MGI	
Zfp955b	zinc finger protein 955B	Mus musculus	protein_coding_gene	MGI	Gm4455|A430003O12Rik|C430039G02Rik
Slc7a6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	Mus musculus	protein_coding_gene	MGI	LAT-2
Zfp955a	zinc finger protein 955A	Mus musculus	protein_coding_gene	MGI	AI842447
Enkd1	enkurin domain containing 1	Mus musculus	protein_coding_gene	MGI	E130303B06Rik
Tcra-J	T cell receptor alpha, joining region	Mus musculus	biological region	MGI	
Tcra	T cell receptor alpha chain	Mus musculus	biological region	MGI	Tcralpha|Tcr alpha
D630041G03Rik	RIKEN cDNA D630041G03 gene	Mus musculus	lncRNA_gene	MGI	
Ypel4	yippee like 4	Mus musculus	protein_coding_gene	MGI	
Nsd3	nuclear receptor binding SET domain protein 3	Mus musculus	protein_coding_gene	MGI	WHISTLE|Whsc1l1
Dgkk	diacylglycerol kinase kappa	Mus musculus	protein_coding_gene	MGI	
Tcp11	t-complex protein 11	Mus musculus	protein_coding_gene	MGI	D17Ken1|Tcp-11
Tcp10c	t-complex protein 10c	Mus musculus	protein_coding_gene	MGI	D17Leh66C|D17Leh66ca|Gm9880|T66C-a|Tcp-10c
Tcp10b	t-complex protein 10b	Mus musculus	protein_coding_gene	MGI	D17Leh66B|D17Leh66ba|T66B-a|Tcp-10b|Tcp-10bt
Tcp10a	t-complex protein 10a	Mus musculus	protein_coding_gene	MGI	D17Leh66A|D17Leh66aa|Gm10326|T66A-a|Tcp-10a
Susd6	sushi domain containing 6	Mus musculus	protein_coding_gene	MGI	4933426M11Rik
Gm3627	predicted gene 3627	Mus musculus	protein_coding_gene	MGI	
Mtus1	mitochondrial tumor suppressor 1	Mus musculus	protein_coding_gene	MGI	Atip1|B430305I03Rik|MD44|MTSG1
Mir741	microRNA 741	Mus musculus	miRNA_gene	MGI	mmu-miR-742|mmu-mir-741|Mirn741
Rhox10	reproductive homeobox 10	Mus musculus	protein_coding_gene	MGI	
Rhox7a	reproductive homeobox 7A	Mus musculus	protein_coding_gene	MGI	Rhox7
Tcp10	t-complex protein 10	Mus musculus	protein_coding_gene	MGI	Tcp-10
Tcp1	t-complex protein 1	Mus musculus	protein_coding_gene	MGI	c-cpn|CCT|Cct1|Ccta|p63|Tcp-1|Tp63|TRic
Tcn2	transcobalamin 2	Mus musculus	protein_coding_gene	MGI	Tcn-2
9030607L02Rik	RIKEN cDNA 9030607L02 gene	Mus musculus	lncRNA_gene	MGI	
9030420N05Rik	RIKEN cDNA 9030420N05 gene	Mus musculus	lncRNA_gene	MGI	
Arhgef18	rho/rac guanine nucleotide exchange factor (GEF) 18	Mus musculus	protein_coding_gene	MGI	A430078G23Rik|D030053O22Rik
Sptlc3	serine palmitoyltransferase, long chain base subunit 3	Mus musculus	protein_coding_gene	MGI	C130053K05Rik
Gm3327	predicted gene 3327	Mus musculus	protein_coding_gene	MGI	
Oosp1	oocyte secreted protein 1	Mus musculus	protein_coding_gene	MGI	
Gm3331	predicted gene 3331	Mus musculus	lncRNA_gene	MGI	
A430034D21Rik	RIKEN cDNA A430034D21 gene	Mus musculus	lncRNA_gene	MGI	
9930032E11Rik	RIKEN cDNA 9930032E11 gene	Mus musculus	lncRNA_gene	MGI	
Gm3336	predicted gene 3336	Mus musculus	protein_coding_gene	MGI	2410018E23Rik
Ubtf	upstream binding transcription factor, RNA polymerase I	Mus musculus	protein_coding_gene	MGI	A930005G04Rik|Tcfubf|UBF|UBF1
Tfe3	transcription factor E3	Mus musculus	protein_coding_gene	MGI	bHLHe33|F830016E06Rik|Tcfe3|Tfe-3
Tcf3	transcription factor 3	Mus musculus	protein_coding_gene	MGI	A1|ALF2|bHLHb21|E12|E2A|E47|Pan1|Pan2|Tcfe2a
Gm14257	predicted gene 14257	Mus musculus	lncRNA_gene	MGI	
Zfp868	zinc finger protein 868	Mus musculus	protein_coding_gene	MGI	
Plekhg4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4	Mus musculus	protein_coding_gene	MGI	4931414L13Rik
Gm10021	predicted gene 10021	Mus musculus	gene	MGI	
Tfcp2	transcription factor CP2	Mus musculus	protein_coding_gene	MGI	CP2|CP-2|D230015P20Rik|LBP1|LBP-1c|LBP-1d|LSF|Tcfcp2|UBP-1
Tcf7	transcription factor 7, T cell specific	Mus musculus	protein_coding_gene	MGI	T cell factor-1|T-cell factor 1|Tcf1|TCF-1
Tcf4	transcription factor 4	Mus musculus	protein_coding_gene	MGI	5730422P05Rik|ASP-I2|bHLHb19|E2-2|E2.2|ITF-2|ITF-2b|ME2|MITF-2A|MITF-2B|SEF-2|SEF2-1|TFE
Hnf1b	HNF1 homeobox B	Mus musculus	protein_coding_gene	MGI	hepatocyte nuclear factor-1 beta|Hnf1beta|HNF-1Beta|LFB3|Tcf2|Tcf-2|vHNF1
Hnf1a	HNF1 homeobox A	Mus musculus	protein_coding_gene	MGI	hepatocyte nuclear factor 1|Hnf-1|HNF1|HNF1[a]|Hnf1alpha|HNF1-alpha|LFB1|Tcf1
Tcd5	t-complex distorter 5	Mus musculus	gene	MGI	Tcd-5
9530068E07Rik	RIKEN cDNA 9530068E07 gene	Mus musculus	protein_coding_gene	MGI	
Otud7b	OTU domain containing 7B	Mus musculus	protein_coding_gene	MGI	2900060B22Rik|4930463P07Rik|Za20d1
4930431F12Rik	RIKEN cDNA 4930431F12 gene	Mus musculus	lncRNA_gene	MGI	
AI429214	expressed sequence AI429214	Mus musculus	protein_coding_gene	MGI	
Vat1l	vesicle amine transport protein 1 like	Mus musculus	protein_coding_gene	MGI	
4930455D15Rik	RIKEN cDNA 4930455D15 gene	Mus musculus	lncRNA_gene	MGI	
Exoc8	exocyst complex component 8	Mus musculus	protein_coding_gene	MGI	EXO84|Exo84p|SEC84
4930444P10Rik	RIKEN cDNA 4930444P10 gene	Mus musculus	protein_coding_gene	MGI	
Crtc1	CREB regulated transcription coactivator 1	Mus musculus	protein_coding_gene	MGI	Mect1|TORC1
Gm3367	predicted gene 3367	Mus musculus	ncRNA_gene	MGI	
Potefam3e	POTE ankyrin domain family member 3E	Mus musculus	protein_coding_gene	MGI	ENSMUSG00000074453|Pote3e|TSAP|OTTMUSG00000018948|4930467E23Rik
4930485G23Rik	RIKEN cDNA 4930485G23 gene	Mus musculus	lncRNA_gene	MGI	
Krt82	keratin 82	Mus musculus	protein_coding_gene	MGI	Krt2-20
Gm3376	predicted gene 3376	Mus musculus	protein_coding_gene	MGI	
Smim19	small integral membrane protein 19	Mus musculus	protein_coding_gene	MGI	AI316807|EST-c39
Vwa7	von Willebrand factor A domain containing 7	Mus musculus	protein_coding_gene	MGI	D17H6S56E-3|G7c
Aoc3	amine oxidase, copper containing 3	Mus musculus	protein_coding_gene	MGI	semicarbazide-sensitive amine oxidase|SSAO|VAP1
Apaf1	apoptotic peptidase activating factor 1	Mus musculus	protein_coding_gene	MGI	6230400I06Rik|Apaf1l
Scin	scinderin	Mus musculus	protein_coding_gene	MGI	adseverin
Wdr64	WD repeat domain 64	Mus musculus	protein_coding_gene	MGI	4930415O10Rik|4930511H01Rik
4930524C18Rik	RIKEN cDNA 4930524C18 gene	Mus musculus	lncRNA_gene	MGI	
Btbd35f27	BTB domain containing 35, family member 27	Mus musculus	protein_coding_gene	MGI	Gm3763
Gm3669	predicted gene 3669	Mus musculus	lncRNA_gene	MGI	
Gm3764	predicted gene 3764	Mus musculus	lncRNA_gene	MGI	Gm3759
Ugdh	UDP-glucose dehydrogenase	Mus musculus	protein_coding_gene	MGI	Udpgdh
Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	Mus musculus	protein_coding_gene	MGI	Mrg1|Msg2|p35srj
Dio3	deiodinase, iodothyronine type III	Mus musculus	protein_coding_gene	MGI	
Egr3	early growth response 3	Mus musculus	protein_coding_gene	MGI	Pilot
Gm12185	predicted gene 12185	Mus musculus	protein_coding_gene	MGI	
Klk8	kallikrein related-peptidase 8	Mus musculus	protein_coding_gene	MGI	BSP1|Nrpn|Prss19
Mir1981	microRNA 1981	Mus musculus	miRNA_gene	MGI	mmu-mir-1981
Mir1983	microRNA 1983	Mus musculus	miRNA_gene	MGI	mmu-mir-1983
Gm12708	predicted gene 12708	Mus musculus	lncRNA_gene	MGI	
Trim50	tripartite motif-containing 50	Mus musculus	protein_coding_gene	MGI	
Map1b	microtubule-associated protein 1B	Mus musculus	protein_coding_gene	MGI	LC1|MAP5|Mtap1b|Mtap5|Mtap-5
Map1a	microtubule-associated protein 1 A	Mus musculus	protein_coding_gene	MGI	6330416M19Rik|Mtap1|Mtap-1|Mtap1a
Sucla2	succinate-Coenzyme A ligase, ADP-forming, beta subunit	Mus musculus	protein_coding_gene	MGI	4930547K18Rik
Pet100	PET100 homolog	Mus musculus	protein_coding_gene	MGI	2900053A13Rik
Otoa	otoancorin	Mus musculus	protein_coding_gene	MGI	
Dynlt2a3	dynein light chain Tctex-type 2A3	Mus musculus	protein_coding_gene	MGI	Dynlt2c|Gm3417
Gm13264	predicted gene 13264	Mus musculus	lncRNA_gene	MGI	
Gm14322	predicted gene 14322	Mus musculus	protein_coding_gene	MGI	
Cck	cholecystokinin	Mus musculus	protein_coding_gene	MGI	
Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit	Mus musculus	protein_coding_gene	MGI	alpha(1B)|Cav2.2|Cchn1a
Cacna2d1	calcium channel, voltage-dependent, alpha2/delta subunit 1	Mus musculus	protein_coding_gene	MGI	Cacna2|Ca(v)alpha2delta1|Cchl2a
Cacna1s	calcium channel, voltage-dependent, L type, alpha 1S subunit	Mus musculus	protein_coding_gene	MGI	Cav1.1|Cchl1a3|DHPR alpha1s|fmd|mdg|muscle dysgenesis|sj
Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	Mus musculus	protein_coding_gene	MGI	8430418G19Rik|C79217|Cacnl1a2|Cav1.3alpha1|Cchl1a|Cchl1a2|D-LTCC
Dmrtc1b	DMRT-like family C1b	Mus musculus	protein_coding_gene	MGI	Dmrt8.2
Cbx2	chromobox 2	Mus musculus	protein_coding_gene	MGI	M33
Cbs	cystathionine beta-synthase	Mus musculus	protein_coding_gene	MGI	HIP4
Cbr1	carbonyl reductase 1	Mus musculus	protein_coding_gene	MGI	CR
Serpinh1	serine (or cysteine) peptidase inhibitor, clade H, member 1	Mus musculus	protein_coding_gene	MGI	Cbp1|Cbp2|colligin|gp46|Hsp47|J6|Serpinh2
Cbln2	cerebellin 2 precursor protein	Mus musculus	protein_coding_gene	MGI	6330593N19Rik
Cbln1	cerebellin 1 precursor protein	Mus musculus	protein_coding_gene	MGI	
Gm13793	predicted gene 13793	Mus musculus	lncRNA_gene	MGI	
Aadacl4fm2	AADACL4 family member 2	Mus musculus	protein_coding_gene	MGI	Gm13124
Gm14009	predicted gene 14009	Mus musculus	lncRNA_gene	MGI	
Cbl	Casitas B-lineage lymphoma	Mus musculus	protein_coding_gene	MGI	4732447J05Rik|Cbl-2|c-Cbl
Serpina6	serine (or cysteine) peptidase inhibitor, clade A, member 6	Mus musculus	protein_coding_gene	MGI	Cbg
Gm14403	predicted gene 14403	Mus musculus	protein_coding_gene	MGI	
Gm14409	predicted gene 14409	Mus musculus	protein_coding_gene	MGI	
Xlr	X-linked lymphocyte-regulated	Mus musculus	protein_coding_gene	MGI	
Xist	inactive X specific transcripts	Mus musculus	lncRNA_gene	MGI	
Xdh	xanthine dehydrogenase	Mus musculus	protein_coding_gene	MGI	xanthine oxidase|XO|Xor|Xox1|Xox-1
Xbp1	X-box binding protein 1	Mus musculus	protein_coding_gene	MGI	D11Ertd39e|TREB5|TREB-5|XBP-1
Wt1	WT1 transcription factor	Mus musculus	protein_coding_gene	MGI	D630046I19Rik|Wilms tumor 1 homolog|Wt-1
Wnt7b	wingless-type MMTV integration site family, member 7B	Mus musculus	protein_coding_gene	MGI	Wnt-7b
Wnt7a	wingless-type MMTV integration site family, member 7A	Mus musculus	protein_coding_gene	MGI	tw|Wnt-7a
Wnt6	wingless-type MMTV integration site family, member 6	Mus musculus	protein_coding_gene	MGI	Wnt-6
Zbtb10	zinc finger and BTB domain containing 10	Mus musculus	protein_coding_gene	MGI	
Wnt5b	wingless-type MMTV integration site family, member 5B	Mus musculus	protein_coding_gene	MGI	Wnt-5b
Wnt5a	wingless-type MMTV integration site family, member 5A	Mus musculus	protein_coding_gene	MGI	8030457G12Rik|Wnt-5a
Wnt4	wingless-type MMTV integration site family, member 4	Mus musculus	protein_coding_gene	MGI	Wnt-4
Wnt3a	wingless-type MMTV integration site family, member 3A	Mus musculus	protein_coding_gene	MGI	Wnt-3a
Wnt3	wingless-type MMTV integration site family, member 3	Mus musculus	protein_coding_gene	MGI	Int-4|Wnt-3
Wnt2	wingless-type MMTV integration site family, member 2	Mus musculus	protein_coding_gene	MGI	2610510E18Rik|Int1l1|Irp|m-irp|Mirp|Wnt-2|Wnt2a
Wnt1	wingless-type MMTV integration site family, member 1	Mus musculus	protein_coding_gene	MGI	Int-1|Wnt-1
Ncapd3	non-SMC condensin II complex, subunit D3	Mus musculus	protein_coding_gene	MGI	2810487N22Rik|4632407J06Rik|B130055D15Rik
D930019F10Rik	RIKEN cDNA D930019F10 gene	Mus musculus	lncRNA_gene	MGI	
Xylb	xylulokinase homolog (H. influenzae)	Mus musculus	protein_coding_gene	MGI	
Tmem266	transmembrane protein 266	Mus musculus	protein_coding_gene	MGI	AI118078
Gsdmc3	gasdermin C3	Mus musculus	protein_coding_gene	MGI	9930109F21Rik
Wap	whey acidic protein	Mus musculus	protein_coding_gene	MGI	
Vwf	Von Willebrand factor	Mus musculus	protein_coding_gene	MGI	6820430P06Rik|B130011O06Rik
Vtn	vitronectin	Mus musculus	protein_coding_gene	MGI	Vn
Dennd4a	DENN domain containing 4A	Mus musculus	protein_coding_gene	MGI	F730015K02Rik
Lars2	leucyl-tRNA synthetase, mitochondrial	Mus musculus	protein_coding_gene	MGI	
4921528I07Rik	RIKEN cDNA 4921528I07 gene	Mus musculus	protein_coding_gene	MGI	
Cep83	centrosomal protein 83	Mus musculus	protein_coding_gene	MGI	2600001G24Rik|4921537D05Rik|5730513H21Rik|Ccdc41
