Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
Mir199b	microRNA 199b	Mus musculus	miRNA_gene	MGI	mmu-mir-199b|Mirn199b
Mir199a-1	microRNA 199a-1	Mus musculus	miRNA_gene	MGI	Mirn199|mmu-mir-199a-1|Mirn199a-1
Mir196a-1	microRNA 196a-1	Mus musculus	miRNA_gene	MGI	Mirn196|mmu-mir-196a-1|Mirn196a-1
Gm13715	predicted gene 13715	Mus musculus	lncRNA_gene	MGI	
Mir5621	microRNA 5621	Mus musculus	miRNA_gene	MGI	mmu-mir-5621
2210020O09Rik	RIKEN cDNA 2210020O09 gene	Mus musculus	lncRNA_gene	MGI	Gm49672
2210411A11Rik	RIKEN cDNA 2210411A11 gene	Mus musculus	lncRNA_gene	MGI	
2210016L21Rik	RIKEN cDNA 2210016L21 gene	Mus musculus	protein_coding_gene	MGI	
Cdpf1	cysteine rich, DPF motif domain containing 1	Mus musculus	protein_coding_gene	MGI	2210021J22Rik
Ttc4	tetratricopeptide repeat domain 4	Mus musculus	protein_coding_gene	MGI	2810002P21Rik|L62
Zfyve27	zinc finger, FYVE domain containing 27	Mus musculus	protein_coding_gene	MGI	2210011N02Rik|9530077C24Rik|protrudin
Mir194-1	microRNA 194-1	Mus musculus	miRNA_gene	MGI	Mirn194|mmu-mir-194-1|Mirn194-1
Mir193a	microRNA 193a	Mus musculus	miRNA_gene	MGI	mmu-mir-193|Mirn193|mmu-mir-193a
Mir192	microRNA 192	Mus musculus	miRNA_gene	MGI	mmu-mir-192|Mirn192
Mir191	microRNA 191	Mus musculus	miRNA_gene	MGI	mmu-mir-191|Mirn191
Mir190a	microRNA 190a	Mus musculus	miRNA_gene	MGI	mmu-mir-190|mir-190|Mirn190|mmu-mir-190a
Mir188	microRNA 188	Mus musculus	miRNA_gene	MGI	mmu-mir-188|Mirn188
Mir187	microRNA 187	Mus musculus	miRNA_gene	MGI	mmu-mir-187|Mirn187
Mir186	microRNA 186	Mus musculus	miRNA_gene	MGI	mmu-mir-186|Mirn186
Heatr9	HEAT repeat containing 9	Mus musculus	protein_coding_gene	MGI	Gm11435
Dnaaf6b	dynein axonemal assembly factor 6B	Mus musculus	protein_coding_gene	MGI	E230019M04Rik|Pih1h3b
B430319G15Rik	RIKEN cDNA B430319G15 gene	Mus musculus	lncRNA_gene	MGI	Gm38391
Mir185	microRNA 185	Mus musculus	miRNA_gene	MGI	mmu-mir-185|Mirn185
Mir184	microRNA 184	Mus musculus	miRNA_gene	MGI	mmu-mir-184|Mirn184
Mir183	microRNA 183	Mus musculus	miRNA_gene	MGI	mmu-mir-183|Mirn183
Mir182	microRNA 182	Mus musculus	miRNA_gene	MGI	mmu-mir-182|Mirn182
Mir181a-2	microRNA 181a-2	Mus musculus	miRNA_gene	MGI	miR-181|Mirn181|mmu-mir-181a|Mirn181a|mmu-mir-181a-2|mir-181a|Mirn181a-2
B930086L07Rik	RIKEN cDNA B930086L07 gene	Mus musculus	lncRNA_gene	MGI	
Mir16-1	microRNA 16-1	Mus musculus	miRNA_gene	MGI	miR-16|Mirn16|mmu-mir-16-1|mir-16-1|Mirn16-1
Mir15b	microRNA 15b	Mus musculus	miRNA_gene	MGI	mmu-mir-15b|Mirn15b
Mir15a	microRNA 15a	Mus musculus	miRNA_gene	MGI	mmu-mir-15a|Mirn15a
Mir155	microRNA 155	Mus musculus	miRNA_gene	MGI	mmu-mir-155|Mirn155
E130311K13Rik	RIKEN cDNA E130311K13 gene	Mus musculus	protein_coding_gene	MGI	
Sertm1	serine rich and transmembrane domain containing 1	Mus musculus	protein_coding_gene	MGI	6030405A18Rik
Slc15a5	solute carrier family 15, member 5	Mus musculus	protein_coding_gene	MGI	9830102E05Rik
Krt73	keratin 73	Mus musculus	protein_coding_gene	MGI	
Abhd16b	abhydrolase domain containing 16B	Mus musculus	protein_coding_gene	MGI	BC050777
Mslnl	mesothelin-like	Mus musculus	protein_coding_gene	MGI	
8030423F21Rik	RIKEN cDNA 8030423F21 gene	Mus musculus	lncRNA_gene	MGI	
Mir154	microRNA 154	Mus musculus	miRNA_gene	MGI	mmu-mir-154|Mirn154
Mir153	microRNA 153	Mus musculus	miRNA_gene	MGI	mmu-mir-153|mir-153|Mirn153
Mir152	microRNA 152	Mus musculus	miRNA_gene	MGI	mmu-mir-152|Mirn152
Mir151	microRNA 151	Mus musculus	miRNA_gene	MGI	mmu-mir-151|mir-151|Mirn151
Mir150	microRNA 150	Mus musculus	miRNA_gene	MGI	mmu-mir-150|Mirn150
Mir149	microRNA 149	Mus musculus	miRNA_gene	MGI	mmu-mir-149|Mirn149
Mir148a	microRNA 148a	Mus musculus	miRNA_gene	MGI	Mirn148|mmu-mir-148a|Mirn148a
Mir147	microRNA 147	Mus musculus	miRNA_gene	MGI	mmu-mir-147|Mirn147
Mir146	microRNA 146	Mus musculus	miRNA_gene	MGI	mmu-mir-146|mmu-mir-146a|Mirn146|miR-146a
Mir145a	microRNA 145a	Mus musculus	miRNA_gene	MGI	mmu-mir-145|Mirn145|mmu-mir-145a
Tmem130	transmembrane protein 130	Mus musculus	protein_coding_gene	MGI	
Slc22a15	solute carrier family 22 (organic anion/cation transporter), member 15	Mus musculus	protein_coding_gene	MGI	2610034P21Rik|A530052I06Rik
Mir144	microRNA 144	Mus musculus	miRNA_gene	MGI	mmu-mir-144|Mirn144
Mir143	microRNA 143	Mus musculus	miRNA_gene	MGI	mmu-mir-143|Mirn143
Mir142	microRNA 142	Mus musculus	miRNA_gene	MGI	miR-142|mmu-mir-142|Mirn142
Mir141	microRNA 141	Mus musculus	miRNA_gene	MGI	mmu-mir-141|Mirn141
Mir140	microRNA 140	Mus musculus	miRNA_gene	MGI	mmu-mir-140|Mirn140
Mir139	microRNA 139	Mus musculus	miRNA_gene	MGI	mmu-mir-139|Mirn139
Mir138-1	microRNA 138-1	Mus musculus	miRNA_gene	MGI	Mirn138|mmu-mir-138-1|Mirn138-1
Mir137	microRNA 137	Mus musculus	miRNA_gene	MGI	mmu-mir-137|Mirn137
Mir136	microRNA 136	Mus musculus	miRNA_gene	MGI	mmu-mir-136|Mirn136
Mir135a-1	microRNA 135a-1	Mus musculus	miRNA_gene	MGI	mmu-mir-135a-1|Mirn135|Mirn135a-1
Pex12	peroxisomal biogenesis factor 12	Mus musculus	protein_coding_gene	MGI	
Mir134	microRNA 134	Mus musculus	miRNA_gene	MGI	mmu-mir-134|Mirn134
Mir133a-1	microRNA 133a-1	Mus musculus	miRNA_gene	MGI	Mirn133|mmu-mir-133a-1|mir-133a-1|Mirn133a-1
Mir132	microRNA 132	Mus musculus	miRNA_gene	MGI	mmu-mir-132|Mirn132
Mir130a	microRNA 130a	Mus musculus	miRNA_gene	MGI	Mirn130|mmu-mir-130a|Mirn130a
Mir129-1	microRNA 129-1	Mus musculus	miRNA_gene	MGI	Mirn129b|mmu-mir-129-1|Mirn129-1
Slc35f5	solute carrier family 35, member F5	Mus musculus	protein_coding_gene	MGI	1300003P13Rik
Mir128-1	microRNA 128-1	Mus musculus	miRNA_gene	MGI	Mirn128|mmu-mir-128a|Mirn128a|mmu-mir-128-1|Mirn128-1
Stra6l	STRA6-like	Mus musculus	protein_coding_gene	MGI	1300002K09Rik|Rbpr2
Mir126a	microRNA 126a	Mus musculus	miRNA_gene	MGI	mmu-mir-126|Mirn126|mmu-mir-126a
Mir125b-1	microRNA 125b-1	Mus musculus	miRNA_gene	MGI	Mirn125b|mmu-mir-125b-1|Mirn125b-1
Josd1	Josephin domain containing 1	Mus musculus	protein_coding_gene	MGI	1300006C06Rik
Tbc1d10a	TBC1 domain family, member 10a	Mus musculus	protein_coding_gene	MGI	EPI64|Tbc1d10
6430604M11Rik	RIKEN cDNA 6430604M11 gene	Mus musculus	lncRNA_gene	MGI	
Gm7592	Predicted gene 7592	Mus musculus	protein	UniProtKB	UniProtKB:A0A668KM38|PTN008398523
Mir125a	microRNA 125a	Mus musculus	miRNA_gene	MGI	mmu-mir-125a|Mirn125a
